clean_text,sentimen
moga semua selamat,neutral
moga semua selalu lindung tuhan,positive
allah lindung segera reda bencana lekas pulih seperti sedia kala,positive
innalillahii,positive
innalillahi kabupaten dampak sekali kabupaten allah turut duka cita,neutral
mudah mudah sehat rejekinya cepat ganti,positive
tuhan yesus lindung selamat kan lah sodara,neutral
allah lindung saodara,neutral
turut prihatin musibah sebut tuhan tolong sdr di sibolga medan,neutral
banyak lah besi hanyut,negative
astagarrr betul parah sih kali doa ku buat kalian malaysia,negative
duh allah lindung saudara di sumatera amin,negative
yallah bagaimana ayah di mandailing natal,neutral
pantas ws mulu gue,negative
allah lindung hamba,negative
moga selalu beri sehat selamat,positive
tuhan sehat sell buat kalian semua sana selalu lindung tuhan amin,positive
astaghfirullah halazimsemg semua lindgn allah swt amin allah robbal alamin,positive
moga semua selalu lindung maha kuasa,positive
sedih allah lihat,negative
allah mudah han selamet amin,positive
allah gusti,negative
ku ikhlas kdm dedi mulyadi jadi presiden,positive
surah asysyura ayat nyata apa musibah timpa kamu sebab buat tangan sendiri allah maaf bagi besar salah ayat adalah surah arrum ayat sebut tampak rusa darat di laut sebab buat tangan manusia allah rasa sebahagian akibat buat agar mereka kembali jalan benar,negative
bangga jadi bagi orang sumatera pulau sumatra topang minyak kelapa sawit no dunia kata yang duduk jakarta,positive
mantap tri hutan sukses,positive
moga masyarakat sana lindung tuhan esa bisa lewat badai amin,positive
tuhan lindung mu,negative
kasihan sekalisemoga badai cepat berlalun turut duka,neutral
mana,negative
moga semua selamat cepat surut,neutral
ngebayangin di rumah ada orang sakit tidak jalan kpikiran sama hewan yang sana,negative
kmpung hutanabolon tap teng,neutral
allah kasihan,negative
mana perintah,negative
allah moga lekas baik padang,positive
pray for sumatra,neutral
allaah,negative
allah selamat,neutral
allah robby astaghfirullah allah,negative
turut duka moga musibah tak ulang dan beri tabah semua,positive
allah zampuni,negative
moga saudara selalu tabah hadap dari bandung ikut turut prihatin atas musibah,positive
aku sedih lihat moga baik baik dan moga bantu manusia segera sigap,positive
jabat negara mana kau semua sumatera siaga darurat,neutral
ingat pepatah lamalebih baik cegah obat,positive
allah huakbar,negative
innalilahi wainnailaihi rojiun,positive
semugaselamatan barataanallah huakbaramiin,positive
kok wowo sama gibran ada respon,negative
moga allah selalu lindung mu amin,positive
innalillahi wainnailaihi rojiun selamat kan ya allah,positive
allahuakbar moga musibah cepat lalu,negative
my heart goes out all affected very sad,negative
moga lindung allah swt amin,positive
buah ingat sang kuasa kita baik sama,positive
innalillahi wainnailaihi rojiun semiga air cepat surut semiga saudara du dna selalu lindung mu allah,positive
puh kabupaten lumayan besar,neutral
merciful god please hear our prayers,neutral
bantu fllow me,negative
innalilahi wainna ilaihi rajiun,positive
ini dampak tambang sudah keruk perintah rakyat tanggung duit kurup,negative
orang lihat video orang kena musibah susah lalu mikir semua karena insiden tidak relasi sama sekali,negative
prayers,negative
indonecia cambio climtico pueblo despertar,neutral
astagfirallah allah robb,positive
bobby,negative
allah ikan lah selamat sodara yang sana,positive
manusia salah yang kuasa ada marah saja sih,negative
anak jangan tinggal bu gendong erat,negative
turut duka cita,neutral
allh,negative
allah lindung,negative
tuhan yesus jalan benar,negative
moga lks baik,positive
allah mudahn dberi kmudahan,positive
moga allah selalu lindung,positive
allloh tau,negative
lebih baik bantu urus selamat palestina dulu dong,negative
lama banget perintah lebih cepat masyarakat beri bantu,negative
moga kalian ikan kuat iman,positive
jabat bikin ulah rakyat jelata nanggung derita dimanakh nurani mu wahai jabat,negative
prayers the indonesian people they are going through sok much,negative
kayu gelondong besar ikut bawa arus apa hutan habis babat,negative
allah lindung saudara semua ada sana,negative
moga cepat lalu musibah,neutral
up,neutral
selamat kan nyawa dulu cari tempat aman aku bandung kirim doa allah saudara saudara moga selamat allah,neutral
baik komennya jangan tambah masalah ini baru jadi mana mungkin bantu langsung datang besok pagi datang bantuanpresidan kirim bantu sumatra peasawat biar cepat sampaisabar banyak doa biar datang bencana,negative
pray for indonesia people,negative
akibat lahan hutan alih pungsi moga ada korban jiwa,neutral
allah ngeri,negative
baik selalu boskuu,positive
moga cepat atas surut daerah sekitar kena banjirr,neutral
allah moga semua beri selamat,positive
hutan gundul,negative
innalillahi wainna ilaihi rojiun moga kondisi segera baik korban dampak selamat lindung layak rahayu,positive
moga cepat surut banjir,neutral
ada gali dahsyat tengah hutan gunung,negative
yakin hanya bencana alam,negative
gubernur sumut mana,neutral
gubernur mana,neutral
proyek gubernur,neutral
alam mulai tunjuk kemarahanny,negative
buat sumatra hancur jaman jokowi semua hutan lindung babat habis pt sawit tambang elegal semua biar,negative
stop tebang pohon bukit bukit,negative
astaghfirullah moga cepat surut banjir tidak banyak korban jiwa,positive
hutan habisin buat tambang emas ilegal,negative
rusak alam rugi masyarakat tempat senang perintah pusat negararusak,negative
saat perintah bansos ribu kota sedang bencana,neutral
jakarta susul,negative
banjir tetap pakai tas dior,negative
bayak artis bayak jabat opung opung lihat dulu sebolga,neutral
rusak alam jabat tanggung jawab,negative
tegur roh kudus,neutral
punya bayi sama ibu hamil bagaimana,negative
sabar kawan uji,neutral
tebang pohon hutan banyak mungkin,negative
alhamdulilah,positive
air sama tanah jalan geser jauh,negative
terus rusak hutan hulu biar tambah seru bencana,negative
suruh rusak hutan siapa harus tanggung jawab keman uang jual kayu,negative
ada bisa larang kalau sekendak allah buat lah baik bencana datang belum pernah jadi datang paling paling dasyhat luar biasa kelak datang alami,positive
semua bencana ingat apa kita buat dunia,negative
bobiopung lihat rakyat sumatra utara,neutral
gubernur bagaimana boby nasution,neutral
gubernur sumatera utara tanggungjawab nih kasih izin habisin hutan,neutral
dzolim papada manusadzolim leweungdzolim kak sato astaghfirullah allah innalilahi eta maha tanggung jawab nya,negative
astaghfirullah innalillahi,negative
lni mungkin akibat tebang hutan jadi rakyat jadi korban,neutral
kutuk banget gundulin hutan,negative
lbp tempat kau lahir,neutral
allah marah,negative
subhanannal allah,negative
pulau sumatera tenggelam,neutral
kirim semangat dukung indonesia thailand meski negara juga ada situasi sulit akibat banjir telah tel banyak korban jiwa,positive
inalillahi moga trtimpa bencana kasih tabah di selamat jiwa,positive
serius tanya jabat jadi korban,negative
dari status teman instagram,neutral
azabbb,negative
innalillahi wa inna ilaihi rojiunsemoga allah beri selamat mudah,positive
hendak allah terima lah,negative
kena azab,negative
main rajadepo pasti cuan,positive
inalillahi allohumma jukni fii musiibati khhoirun miinkha,negative
salah perintah dong bawa suku jawa aneh palah adu domba jelas,negative
marwa sirait palestina mana,negative
lekas baik sumatra salam jawa lindung lah umat muslim hewan hewan allah,neutral
kasihan betul,negative
allah bagaimana allaaaahhhh,negative
mungkin pikir perintah ai edit bukan nyata,negative
pray for sumatra indonesia,neutral
the world is going crazy whats happening,negative
moga semua baik,positive
sabar mudhan di selamat,neutral
allahuakbar,negative
inna lillahi wa ina ilaihi roojiun,positive
yaallahhhhhhh,negative
allah maha tau mana harus kasih coba hukum peringatanmusibah jangan suka salah orang intropeksi diribersabarlah saudara,negative
moga hujan badai sgra berhentibanjir cpat surutdan sadra kena musibah semua ikan kesehatankeslamatan kuat,positive
mamadewi dok iki,neutral
sangat diaayangkan pribumi orang kecil tak pandang atas nama bencana alam alam murka kuasa serakah bilang teliti bencana bukan bencana alam ini bencana rencana ulah laku serakah hanya dahulu penting pribadi pikir sengsara masyarakat kecil lahan lindung jadi rumah kebun atas tanah legal paksa moga kita semua lindung allah beri tabah keluarga yang tinggal orang sayang sumatera duka,negative
tuhan selamat,neutral
banyak besi,positive
banyak debat dulu repost sebar prayforsumatra,neutral
allah selamat kan lah saudara saudara semua perintah cepat bantu saudara di sana sakit banget lihat ya allah,negative
paktor alam,neutral
tetap jadi bencana nasional bukan jawa,negative
hutan habis tanam sawit mungkin kalimantan susul alam murka ulah manusia,negative
nyala pemerintahkuu,negative
yaallah rabb ikan kuat kbaikan mereka,negative
ironis orang tidak kena dampak malah paling sibuk salah,negative
kabupaten sih janggal,negative
tau di sumatera bareng haram jual terang terang bahkan makenya tanpa sembunyi sembunyi kea minum es biasa banyak banget bandar sabunya,negative
astagfirullah kuat saudarasaudara di sumatera sana allah,negative
dosa aapa saudara kalian buat,negative
pray for sumut,negative
moga sehat selalu,positive
ini masuk gara banyak alih lahan fungsi tidak mesti tambang elegal contoh alam rusak akibat bencana sebut,negative
tni au tni polisi pernah lihat,neutral
wahai jabat daerah lihat lah warga,neutral
semua akibat tri main domino kalah jadi hutan babat habis,negative
aduh tuhan sedih hati hamba saksi susah derita sodara sodara dampak bencana,negative
jabat kok anteng tidak suara,negative
nyata benar air tanah hari minta ijin allah lenyap kan manusia kali allah bilang tunggu mana tau hamba ingin taubat akhir nya allah bilang gerak,negative
prayers all affected by this,negative
prayforsumatra,neutral
sabar sodaraku,negative
moga segera membaikk,positive
sumatra merdeka,neutral
wahai manusia ragu engkau ingat tuhanmuwahai manusia bertawakalah engkau tuhanmubukankah ayat al quran nyata bukti ingat tuhan tidak engkau lihat ayat terus kerja bumi ketika turun allah subhanahu wa taala firman sungguh turun kepada buah kitab alquran di dalam dapat ingat bagi apakah kamu erti qs alanbiya ayat allah subhanahu wa taala firman berapa banyak duduk negeri zalim telah binasa jadi generasi lain bagai ganti qs alanbiya ayat allah subhanahu wa taala firman ketika rasa azab tibatiba lari diri negeri qs alanbiya ayat allah subhanahu wa taala firman jangan kamu lari tergesagesa kembali kamu senang hidup tempattempat diam baik kamu tanya qs alanbiya ayat allah subhanahu wa taala firman mereka kata betapa celaka kami sungguh kami orangorang zalim ketika mulai rasa takut mati qs alanbiya ayat,negative
alquran jelas bencana bagi tetap allah takdir rupa akibat buat manusia uji ingat sebut surah alhadiid ayat surah asysyura ayat jelas perspektif alquran bagi takdir alquran nyata segala jadi bumi masuk bencana tulis kitab lauh mahfuz allah cipta surah alhadiid ayat akibat buat manusia bagi bencana jadi buat manusia sendiri rusa lingkung surah asysyura ayat jelas apa musibah timpa kamu sebab buat tangan sendiri uji ingat bencana jadi uji allah uji iman manusia ingat kembali jalan benar hapus dosa bagaimana jelas albaqarah ayat beberapa hadist izin allah ada musibah yang timpa orang dengan izin allah yang tulis dalam surah attaghabun ayat inti alquran tolak ada bencana beri pandang bencana bagi tetap ilahi yang dapat sebab buat manusia sekaligus fungsi bagai uji ingat introspeksi kembali allah,negative
allah lindung saudara hamba andai saudara ku banyak buat salah dosa ampun limpah taufiq hidayah mu para mang penting negeri agar jadi jabat amanah amin,positive
inalilahi wainalilahi rojiun astofirulohaladzim moga segera ikan bantu mudah amin allah,positive
kasihan sekali,negative
kabbanyak allahapakah selamat semua,positive
sami,negative
allah lindung di sana moga tabah uji nih moga banjir cepat baik,positive
kalau adapt peyebabbanjir pttangug jawab,neutral
moga cepat baik kasihan sodara di sana allah,positive
lindung ya allah,negative
baca baca baca apa baca,negative
apa korban jiwa,negative
moga cepat baik,positive
allah semogaaa kalian baik ya,positive
turut prihatin duka moga segera lalu musibah,neutral
kota medan tepat klambir v tidsk bantu tim sar sama sekali,neutral
lindung ya allah,negative
gambar jawabarat kalau gubernur bukan kdm,negative
sekarang bagaimana apa baik,negative
pakai prabowo cepat lah bantu rakyat mu,positive
akibat hutan babat,negative
kasihan pak prabowo,negative
kapan di mana,negative
allah kasihan saudara saudara lindung lah saudara beri sabar ikhlas luas allah hati rasa betapa sulit ada saudara kamiganti harta yang hilang allah saudara saudara di dunia padang mahsyar salam hangat dari jambi saudara cinta,positive
riska ikayaallah selamat lindung lah saudara saudari semua beri tabah sabar keihklasan atas musibah telah timpa amin,positive
allah moga selamet,negative
kak izin jawab ada saudara ada kabar daerah pekanbaru tarutung kena musibah apa soal susah hubung,neutral
mana perintah pusat mana tri hutan,neutral
praying praying praying for them,negative
sumut t lahir opung luhut,neutral
ramal hard gumay,negative
di jelas alquran musibah datang manusia,negative
its like nature saying not live this area hopefully they can recover looks sok bad,negative
urus pulau jawaga usah urus sumatrakrna bukan bagi indonesia,negative
ingat kita yaallah,negative
karena sering babat hutanjadi bencana,negative
kualat akibat kedzoliman anak yatim musafir tempat suci masjid allah,negative
bukan tebang pohon mas air mata arjuna hujan banjir semua,negative
innalillahi kabupaten,negative
tebng terus hutan rusak terus tanah,negative
